source_id,jurisdiction_id,authority_id,source_title,source_type,format,url,effective_period,retrieved_at,verification_status,topics,notes
source:ca-yt-regulations-2026-27,jurisdiction:ca-yt,authority:ca-yt-env,See up-to-date hunting rules and regulations,PRIMARY_REGULATORY,HTML,https://yukon.ca/en/hunting-regulations,2026-2027,2026-09-20,SOURCE_FOUND,regulations|species|seasons|subzones|special_areas|licensing,Official page describes 443 GMS and current changes
source:us-fws-migratory,jurisdiction:us-federal,authority:us-fws,Migratory Bird Hunting Regulations,PRIMARY_REGULATORY,HTML,https://www.fws.gov/law/migratory-bird-hunting-regulations,current_hub,2026-09-20,SOURCE_FOUND,migratory_birds|federal_framework|permits,Annual federal limits and state/tribal seasons must be composed
source:us-fws-refuge-hunting,jurisdiction:us-federal,authority:us-fws,National Wildlife Refuge System 2026-2027 Station-Specific Hunting and Sport Fishing Regulations,PRIMARY_REGULATORY,HTML,https://www.fws.gov/federal-register-publication/national-wildlife-refuge-system-2026-2027-station-specific-hunting-0,2026-2027,2026-09-20,SOURCE_FOUND,federal_lands|special_rules,Final rule effective August 31 2026; refuge-specific regulations remain separate from state rules
source:us-al-hunting,jurisdiction:us-al,authority:us-al-dcnr,Outdoor Alabama Hunting,PRIMARY_REGULATORY,HTML,https://www.outdooralabama.com/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-ak-hunting,jurisdiction:us-ak,authority:us-ak-adfg,Hunting in Alaska,PRIMARY_REGULATORY,HTML,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.main,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing|emergency_orders,
source:us-az-hunting,jurisdiction:us-az,authority:us-az-gfd,Arizona Hunting,PRIMARY_REGULATORY,HTML,https://www.azgfd.com/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-ar-hunting,jurisdiction:us-ar,authority:us-ar-agfc,Arkansas Hunting,PRIMARY_REGULATORY,HTML,https://www.agfc.com/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-ca-hunting,jurisdiction:us-ca,authority:us-ca-cdfw,California Hunting,PRIMARY_REGULATORY,HTML,https://wildlife.ca.gov/Hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-co-hunting,jurisdiction:us-co,authority:us-co-cpw,Colorado Hunting,PRIMARY_REGULATORY,HTML,https://cpw.state.co.us/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-ct-hunting,jurisdiction:us-ct,authority:us-ct-deep,Connecticut Wildlife Publications and Forms,PRIMARY_REGULATORY,HTML,https://portal.ct.gov/deep/wildlife/wildlife-publications-and-forms,2026,2026-09-20,SOURCE_FOUND,regulations|seasons|species|zones|licensing,Links the current hunting and trapping guide
source:us-de-hunting,jurisdiction:us-de,authority:us-de-dnrec,Delaware Hunting,PRIMARY_REGULATORY,HTML,https://dnrec.delaware.gov/fish-wildlife/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-dc-wildlife,jurisdiction:us-dc,authority:us-dc-doee,Fisheries and Wildlife,PRIMARY_REGULATORY,HTML,https://doee.dc.gov/service/fisheries-and-wildlife,current_hub,2026-09-20,NEEDS_REVIEW,wildlife|restrictions,No recreational hunting authority established
source:us-fl-hunting,jurisdiction:us-fl,authority:us-fl-fwc,Florida Hunting,PRIMARY_REGULATORY,HTML,https://myfwc.com/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-ga-hunting,jurisdiction:us-ga,authority:us-ga-dnr,Georgia Hunting,PRIMARY_REGULATORY,HTML,https://georgiawildlife.com/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-hi-hunting,jurisdiction:us-hi,authority:us-hi-dofaw,Hawaii Hunting,PRIMARY_REGULATORY,HTML,https://dlnr.hawaii.gov/recreation/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|areas|licensing,
source:us-id-hunting,jurisdiction:us-id,authority:us-id-fg,Idaho Hunting,PRIMARY_REGULATORY,HTML,https://idfg.idaho.gov/hunt,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-il-hunting,jurisdiction:us-il,authority:us-il-dnr,Illinois Hunting,PRIMARY_REGULATORY,HTML,https://dnr.illinois.gov/hunting.html,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-in-hunting,jurisdiction:us-in,authority:us-in-dnr,Indiana Hunting and Trapping,PRIMARY_REGULATORY,HTML,https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-ia-hunting,jurisdiction:us-ia,authority:us-ia-dnr,Iowa Hunting Regulations and Laws,PRIMARY_REGULATORY,HTML,https://www.iowadnr.gov/things-do/hunting-trapping/hunting-regulations-laws,2026-2027,2026-09-20,SOURCE_FOUND,regulations|seasons|species|licensing,Links the 2026-27 full regulations booklet
source:us-ks-hunting,jurisdiction:us-ks,authority:us-ks-kdwp,Kansas Hunting,PRIMARY_REGULATORY,HTML,https://ksoutdoors.com/Hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-ky-hunting,jurisdiction:us-ky,authority:us-ky-dfw,Kentucky Hunting,PRIMARY_REGULATORY,HTML,https://fw.ky.gov/Hunt/Pages/default.aspx,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-la-hunting,jurisdiction:us-la,authority:us-la-wlf,Louisiana Hunting,PRIMARY_REGULATORY,HTML,https://www.wlf.louisiana.gov/page/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|areas|licensing,
source:us-me-hunting,jurisdiction:us-me,authority:us-me-ifw,Maine Hunting and Trapping,PRIMARY_REGULATORY,HTML,https://www.maine.gov/ifw/hunting-trapping/index.html,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|districts|licensing,
source:us-md-hunting,jurisdiction:us-md,authority:us-md-dnr,Maryland Hunting and Trapping,PRIMARY_REGULATORY,HTML,https://dnr.maryland.gov/wildlife/Pages/hunt_trap/home.aspx,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-ma-hunting,jurisdiction:us-ma,authority:us-ma-masswildlife,Massachusetts Hunting Regulations,PRIMARY_REGULATORY,HTML,https://www.mass.gov/hunting-regulations,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-mi-hunting,jurisdiction:us-mi,authority:us-mi-dnr,Michigan Hunting,PRIMARY_REGULATORY,HTML,https://www.michigan.gov/dnr/things-to-do/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-mn-hunting,jurisdiction:us-mn,authority:us-mn-dnr,Minnesota Hunting,PRIMARY_REGULATORY,HTML,https://www.dnr.state.mn.us/hunting/index.html,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|permit_areas|licensing,
source:us-ms-hunting,jurisdiction:us-ms,authority:us-ms-mdwfp,Mississippi Wildlife and Hunting,PRIMARY_REGULATORY,HTML,https://www.mdwfp.com/wildlife-hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-mo-hunting,jurisdiction:us-mo,authority:us-mo-mdc,Missouri Hunting and Trapping,PRIMARY_REGULATORY,HTML,https://mdc.mo.gov/hunting-trapping,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-mt-hunting,jurisdiction:us-mt,authority:us-mt-fwp,Montana Hunt,PRIMARY_REGULATORY,HTML,https://fwp.mt.gov/hunt,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|districts|licensing,
source:us-ne-hunting,jurisdiction:us-ne,authority:us-ne-ngpc,Nebraska Hunt,PRIMARY_REGULATORY,HTML,https://outdoornebraska.gov/hunt/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-nv-hunting,jurisdiction:us-nv,authority:us-nv-ndow,Nevada Hunting,PRIMARY_REGULATORY,HTML,https://www.ndow.org/get-outside/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-nh-hunting,jurisdiction:us-nh,authority:us-nh-fg,Hunting in New Hampshire,PRIMARY_REGULATORY,HTML,https://www.wildlife.nh.gov/hunting-nh,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-nj-hunting,jurisdiction:us-nj,authority:us-nj-fws,New Jersey Hunting,PRIMARY_REGULATORY,HTML,https://dep.nj.gov/njfw/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|zones|licensing,
source:us-nm-hunting,jurisdiction:us-nm,authority:us-nm-dgf,New Mexico Hunting,PRIMARY_REGULATORY,HTML,https://www.wildlife.state.nm.us/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-ny-hunting,jurisdiction:us-ny,authority:us-ny-dec,New York Hunting,PRIMARY_REGULATORY,HTML,https://dec.ny.gov/things-to-do/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-nc-hunting,jurisdiction:us-nc,authority:us-nc-wrc,North Carolina Hunting,PRIMARY_REGULATORY,HTML,https://www.ncwildlife.gov/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|game_lands|licensing,
source:us-nd-hunting,jurisdiction:us-nd,authority:us-nd-gf,North Dakota Hunting,PRIMARY_REGULATORY,HTML,https://gf.nd.gov/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-oh-hunting,jurisdiction:us-oh,authority:us-oh-dow,Ohio Administrative Code Chapter 1501:31 Wildlife,PRIMARY_REGULATORY,HTML,https://codes.ohio.gov/ohio-administrative-code/1501%3A31,current_consolidation,2026-09-20,SOURCE_FOUND,regulations|seasons|species|licensing,Annual summary publication should be added as a separate current source
source:us-ok-hunting,jurisdiction:us-ok,authority:us-ok-wd,Oklahoma Hunting,PRIMARY_REGULATORY,HTML,https://www.wildlifedepartment.com/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|areas|licensing,
source:us-or-hunting,jurisdiction:us-or,authority:us-or-odfw,Oregon Big Game Hunting Regulations 2026,PRIMARY_REGULATORY,PDF,https://myodfw.com/sites/default/files/2025-11/26_BG_regs.pdf,2026,2026-09-20,SOURCE_FOUND,regulations|seasons|species|units|licensing,Game bird and other regulation publications remain separate sources
source:us-pa-hunting,jurisdiction:us-pa,authority:us-pa-pgc,Pennsylvania Hunting and Trapping,PRIMARY_REGULATORY,HTML,https://www.pa.gov/agencies/pgc/huntingandtrapping.html,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-ri-hunting,jurisdiction:us-ri,authority:us-ri-dem,Rhode Island Hunting and Trapping,PRIMARY_REGULATORY,HTML,https://dem.ri.gov/natural-resources-bureau/fish-wildlife/hunting-trapping,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-sc-hunting,jurisdiction:us-sc,authority:us-sc-dnr,South Carolina Hunting,PRIMARY_REGULATORY,HTML,https://www.dnr.sc.gov/hunting.html,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|game_zones|licensing,
source:us-sd-hunting,jurisdiction:us-sd,authority:us-sd-gfp,South Dakota Hunt,PRIMARY_REGULATORY,HTML,https://gfp.sd.gov/hunt/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-tn-hunting,jurisdiction:us-tn,authority:us-tn-twra,Tennessee Hunting,PRIMARY_REGULATORY,HTML,https://www.tn.gov/twra/hunting.html,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-tx-hunting,jurisdiction:us-tx,authority:us-tx-tpwd,Texas Outdoor Annual Hunting,PRIMARY_REGULATORY,HTML,https://tpwd.texas.gov/regulations/outdoor-annual/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|counties|licensing,
source:us-ut-hunting,jurisdiction:us-ut,authority:us-ut-dwr,Utah Hunting and Fishing Guidebooks,PRIMARY_REGULATORY,HTML,https://wildlife.utah.gov/guidebooks,2026,2026-09-20,SOURCE_FOUND,regulations|seasons|species|units|licensing,Separate current big-game and waterfowl/upland/turkey guidebooks are versioned on this page
source:us-vt-hunting,jurisdiction:us-vt,authority:us-vt-fw,Vermont Hunt,PRIMARY_REGULATORY,HTML,https://www.vtfishandwildlife.com/hunt,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-va-hunting,jurisdiction:us-va,authority:us-va-dwr,Virginia Hunting,PRIMARY_REGULATORY,HTML,https://dwr.virginia.gov/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|counties|licensing,
source:us-wa-hunting,jurisdiction:us-wa,authority:us-wa-wdfw,Washington Hunting,PRIMARY_REGULATORY,HTML,https://wdfw.wa.gov/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-wv-hunting,jurisdiction:us-wv,authority:us-wv-dnr,West Virginia Hunting,PRIMARY_REGULATORY,HTML,https://wvdnr.gov/hunting/,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|licensing,
source:us-wi-hunting,jurisdiction:us-wi,authority:us-wi-dnr,Wisconsin Hunting,PRIMARY_REGULATORY,HTML,https://dnr.wisconsin.gov/topic/hunt,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|units|licensing,
source:us-wy-hunting,jurisdiction:us-wy,authority:us-wy-wgfd,Wyoming Hunting,PRIMARY_REGULATORY,HTML,https://wgfd.wyo.gov/hunting,current_hub,2026-09-20,DISCOVERED,regulations|seasons|species|hunt_areas|licensing,
