jurisdiction_id,subdivision_code,jurisdiction_name,authority_id,regulatory_source_id,research_depth,regulatory_system,management_geographies,regulation_formats,gis_status,gis_legal_standing,gis_licensing,required_dimensions,federal_land_dependencies,known_blockers,implementation_readiness,engine_compatibility,engine_gaps,annual_artifact,monitor_strategy,fixture_candidates,reviewed_at
jurisdiction:us-ga,GA,Georgia,authority:us-ga-dnr,source:us-ga-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-hi,HI,Hawaii,authority:us-hi-dofaw,source:us-hi-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Public Hunting Area/Unit,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-id,ID,Idaho,authority:us-id-fg,source:us-id-hunting,WAVE_1_DEEP,Game unit/elk zone + general or controlled hunt + hunt number + tag + weapon class,Game Management Units; Elk Zones; Controlled Hunt Areas; Access Yes properties,Interactive hunt planner; annual PDF rules; filterable grids; downloadable shapefile/KML links,OFFICIAL_DOWNLOADS_ADVERTISED_DIRECT_ASSETS_REQUIRE_CERTIFICATION,Planner warns users to verify against current regulation-booklet boundaries,UNRESOLVED,species; GMU/zone; controlled hunt number; tag; weapon; season; sex/age; residency; draw odds/quota; land program,USFWS refuge special rules; USFS/BLM access; tribal jurisdiction,Controlled-hunt areas may be portions/combinations of units; downloadable dataset version and license need capture,RESEARCH_DEEP_DOWNLOAD_CERTIFICATION_BLOCKED,PARTIAL_MAJOR_EXTENSION,controlled-hunt ID and unit expressions; elk-zone parallel geography; tags/quotas/draw; species-specific partial units,Big-game season/rule PDFs plus hunt-planner datasets,Archive PDF and downloadable boundary snapshot; diff controlled-hunt table by hunt number,controlled hunt 1144 multi-date restrictions; elk zone vs GMU; partial-unit boundary,2026-09-20
jurisdiction:us-il,IL,Illinois,authority:us-il-dnr,source:us-il-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Site,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-in,IN,Indiana,authority:us-in-dnr,source:us-in-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Fish and Wildlife Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ia,IA,Iowa,authority:us-ia-dnr,source:us-ia-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/County,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ks,KS,Kansas,authority:us-ks-kdwp,source:us-ks-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Deer Management Unit,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ky,KY,Kentucky,authority:us-ky-dfw,source:us-ky-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/County,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-la,LA,Louisiana,authority:us-la-wlf,source:us-la-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Area/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-me,ME,Maine,authority:us-me-ifw,source:us-me-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management District (WMD),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-md,MD,Maryland,authority:us-md-dnr,source:us-md-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Region/County,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ma,MA,Massachusetts,authority:us-ma-masswildlife,source:us-ma-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management Zone,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-mi,MI,Michigan,authority:us-mi-dnr,source:us-mi-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Deer Management Unit (DMU),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-mn,MN,Minnesota,authority:us-mn-dnr,source:us-mn-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Permit Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ms,MS,Mississippi,authority:us-ms-mdwfp,source:us-ms-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-mo,MO,Missouri,authority:us-mo-mdc,source:us-mo-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Zone,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-mt,MT,Montana,authority:us-mt-fwp,source:us-mt-hunting,WAVE_1_DEEP,Species regulations + hunting district + license/permit + drawing + species exceptions,Species hunting districts; administrative regions; Block Management Areas and access overlays,HTML hub; annual species PDFs; separately adopted legal descriptions; interactive planner,OFFICIAL_PLANNER_AND_GIS_PAGE_FOUND_SERVICE_REVIEW_REQUIRED,Planner is guidance; regulations and commission-adopted legal descriptions control,UNRESOLVED,species; hunting district; license/permit; residency; draw; season; method; sex/age class; access program,USFS/BLM access; refuge-specific rules; tribal jurisdiction boundaries,District geometry is species-dependent; legal descriptions are separately versioned; planner disclaimer prevents legal substitution,RESEARCH_DEEP_GEOMETRY_VERSION_BLOCKED,PARTIAL_MAJOR_EXTENSION,species-to-district geometry binding; permit/draw identifiers; legal-description versioning; access overlays,Species booklets and annual hunting-district legal descriptions,Version commission-adopted boundaries and species booklets; diff planner only as a secondary signal,deer/elk district with license exception; district legal-description revision; Block Management access overlay,2026-09-20
jurisdiction:us-ne,NE,Nebraska,authority:us-ne-ngpc,source:us-ne-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Unit,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-nv,NV,Nevada,authority:us-nv-ndow,source:us-nv-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Unit,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-nh,NH,New Hampshire,authority:us-nh-fg,source:us-nh-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management Unit (WMU),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-nj,NJ,New Jersey,authority:us-nj-fws,source:us-nj-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Deer/Turkey Management Zone,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-nm,NM,New Mexico,authority:us-nm-dgf,source:us-nm-hunting,WAVE_1_DEEP,GMU + hunt code/license + draw or private-land authorization + species program,Game Management Units; species ranges; EPLUS/private-land units; Open Gate and state/federal/tribal land overlays,Annual PDF rule book; publication hub; unit PDFs; interactive maps; dated shapefile/KMZ download,OFFICIAL_SHAPEFILE_AND_KMZ_FOUND_STALE_2017,Statewide map says not for precise boundaries; rules and unit descriptions control,UNRESOLVED,species; GMU; hunt code; license type; draw; season; method; sex/age; residency; land status; private-land authorization,BLM/USFS; Valles Caldera/NPS; refuges; tribal licenses and lawful-possession documentation,Published downloadable GMU data is dated October 2017; private-land systems and tribal authority cannot be inferred from GMU,RESEARCH_DEEP_STALE_GIS_AND_LAND_BLOCKED,PARTIAL_MAJOR_EXTENSION,hunt code/license; private-land authorization; land/tribal scope; dated geometry provenance,Annual Hunting Rules and Information PDF plus unit descriptions and program pages,Archive rule book; compare legal descriptions against dated GIS; monitor EPLUS and land-access rule changes,GMU 48 description vs GIS; EPLUS private-land elk; tribal-land lawful-possession boundary,2026-09-20
jurisdiction:us-ny,NY,New York,authority:us-ny-dec,source:us-ny-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Wildlife Management Unit (WMU),HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-nc,NC,North Carolina,authority:us-nc-wrc,source:us-nc-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Game Land,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-nd,ND,North Dakota,authority:us-nd-gf,source:us-nd-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Unit,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-oh,OH,Ohio,authority:us-oh-dow,source:us-oh-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,County/Wildlife Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
jurisdiction:us-ok,OK,Oklahoma,authority:us-ok-wd,source:us-ok-hunting,NATIONAL_DISCOVERY,State rules and annual seasons; detailed system not yet decomposed,Zone/Wildlife Management Area,HTML,NOT_CERTIFIED,UNRESOLVED,UNRESOLVED,species; regulatory class; geography; season; method; bag; license/permit; residency; land status — state decomposition required,Migratory-bird framework and federal-land/refuge rules; state-specific dependency inventory pending,"Annual artifact, authoritative boundaries, source terms, and rule dimensions not yet certified",DISCOVERY_ONLY,NOT_ASSESSED,State rule model and authoritative geography contract not decomposed,Current official hunting hub identified; annual controlling artifact unresolved,Resolve annual artifact and update/correction channel before implementation,Pending state decomposition,2026-09-20
